name,image,class,subclass,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Edge of Duality,BotW_Edge_of_Duality_Icon.png?version=8a131f77f277c47417363244f04f0ca7 (https://dl.airtable.com/8A3GRr7WRyG5r9YsnJb7_BotW_Edge_of_Duality_Icon.png%3Fversion%3D8a131f77f277c47417363244f04f0ca7),Weapon,Heavy,,35,50,,,,,,,,,A curious double-edged sword crafted using Sheikah technology. It was originally made for Hyrulean knights unfamiliar with single-edged blades.,,,,,,,,,
Eightfold Longblade,BotW_Eightfold_Longblade_Icon.png?version=2701ef5979693f5b26846775f38f47ea (https://dl.airtable.com/9FRIwrduSxKdkBFhqeww_BotW_Eightfold_Longblade_Icon.png%3Fversion%3D2701ef5979693f5b26846775f38f47ea),Weapon,Heavy,,25,32,,,,,,,,,A single-edged sword seldom seen in Hyrule. This weapon is passed down through the Sheikah tribe and has an astonishingly sharp edge ideal for slicing.,,,,,,,,,
Farming Hoe,BotW_Farming_Hoe_Icon.png?version=8455d536e783d54c7a273802a8589a50 (https://dl.airtable.com/qF6lYkgTDepkwV1iHRrL_BotW_Farming_Hoe_Icon.png%3Fversion%3D8455d536e783d54c7a273802a8589a50),Weapon,Heavy,,6,16,,,,,,,,,"A farming tool primarily used for tilling fields. Its fine craftsmanship is sturdy enough to withstand backbreaking fieldwork, but its battle applications are untested.",,,,,,,,,
Feathered Edge,BotW_Feathered_Edge_Icon.png?version=7a58db03b9480f0e011738c1cbb12880 (https://dl.airtable.com/f497pv9LR9CHfrNGRGE5_BotW_Feathered_Edge_Icon.png%3Fversion%3D7a58db03b9480f0e011738c1cbb12880),Weapon,Heavy,,27,15,,,,,,,,,"Rito craftsmen forged this lightweight, double-edge sword so Rito warriors could soar into battle unhindered by its weight.",,,,,,,,,
Fierce Deity Sword,BotW_Fierce_Deity_Sword_Icon.png?version=36f8d0c662394959b82b9912eb99cad3 (https://dl.airtable.com/WVIkxSR0RF2LG2lx7lFp_BotW_Fierce_Deity_Sword_Icon.png%3Fversion%3D36f8d0c662394959b82b9912eb99cad3),Weapon,Heavy,,35,60,,,,,,,,,A peculiar greatsword allegedly used by a hero from a world in which the moon threatened to fall. It slashes wildly in battle as if possessed by a fierce deity.,,,,,,,,,
Giant Boomerang,BotW_Giant_Boomerang_Icon.png?version=a621efd89944171f0cf81dff4cb91b94 (https://dl.airtable.com/MHYGTGEvSy7l8UZWq29Q_BotW_Giant_Boomerang_Icon.png%3Fversion%3Da621efd89944171f0cf81dff4cb91b94),Weapon,Heavy,,40,25,,,,,,,,,"This massive boomerang requires two hands. Originally used for hunting, it was modified for use as a weapon. The blades on the inner curves make it a bit tricky to wield.",,,,,,,,,
Golden Claymore,BotW_Golden_Claymore_Icon.png?version=2c382e3ad5d9adb020500dff75bc3d1a (https://dl.airtable.com/XYp1om2mR1GkuXueXJ24_BotW_Golden_Claymore_Icon.png%3Fversion%3D2c382e3ad5d9adb020500dff75bc3d1a),Weapon,Heavy,,30,28,,,,,,,,,Only the most talented Gerudo sword fighters carry this two-handed sword. It's actually much lighter than it appears and is surprisingly easy to wield.,,,,,,,,,
Great Flameblade,BotW_Great_Flameblade_Icon.png?version=24916f4bc1ebe7ac467d7ae7d0d35546 (https://dl.airtable.com/qb4GZgKKToSNyrHL2yKr_BotW_Great_Flameblade_Icon.png%3Fversion%3D24916f4bc1ebe7ac467d7ae7d0d35546),Weapon,Heavy,,50,34,,,,,,,,,This magic-infused greatsword was forged in the fires of Death Mountain by Goron smiths in an ancient age. Attack when the blade glows red to expel flames.,,,,,,,,,
Great Frostblade,BotW_Great_Frostblade_Icon.png?version=b442c892861fdc19d69393716059faa5 (https://dl.airtable.com/IhTIYxpQgu4xomK1h0VA_BotW_Great_Frostblade_Icon.png%3Fversion%3Db442c892861fdc19d69393716059faa5),Weapon,Heavy,,40,30,,,,,,,,,This magic-infused greatsword was forged by smelting ore found in the Hebra Mountains' permafrost. Attack when the blade glows blue to expel freezing air.,,,,,,,,,
Great Thunderblade,BotW_Great_Thunderblade_Icon.png?version=aea74ebd9118e5e94e447ef981ec8cbf (https://dl.airtable.com/YvzHrPrKRQalnKti2c8O_BotW_Great_Thunderblade_Icon.png%3Fversion%3Daea74ebd9118e5e94e447ef981ec8cbf),Weapon,Heavy,,50,32,,,,,,,,,This magic-infused greatsword was forged by the Hyrulean royal family using lightning from the Hyrule Hills. Attack when the blade glows golden to expel lightning.,,,,,,,,,
Iron Sledgehammer,BotW_Iron_Sledgehammer_Icon.png?version=1b38d0b312bf86219349f9301e07caa1 (https://dl.airtable.com/YXZIPUWZRryXthzY9BVY_BotW_Iron_Sledgehammer_Icon.png%3Fversion%3D1b38d0b312bf86219349f9301e07caa1),Weapon,Heavy,mining,40,12,,,,,,,,,"This large iron sledgehammer was originally used for mining, but it works reasonably well as a weapon too.",,,,,,,,,
Knight's Claymore,BotW_Knight%27s_Claymore_Icon.png?version=67b129becf92319af1ee5825eca64dce (https://dl.airtable.com/UjTTmsSxSvq5iuwfVoNC_BotW_Knight%2527s_Claymore_Icon.png%3Fversion%3D67b129becf92319af1ee5825eca64dce),Weapon,Heavy,,30,38,,,,,,,,,Only the most confident of Hyrule Castle's knights carried this two-handed sword. Its cutting edge is finely honed.,,,,,,,,,
Korok Leaf,BotW_Korok_Leaf_Icon.png?version=238ab4ee906b09fbd9272278dad0fa18 (https://dl.airtable.com/TlfLE0gmSnicsy14pM9A_BotW_Korok_Leaf_Icon.png%3Fversion%3D238ab4ee906b09fbd9272278dad0fa18),Weapon,Heavy,,25,1,,,,,,,,,"A single swing of this giant, sturdy leaf can create a gust of wind strong enough to blow away light objects.",,,,,,,,,
Lynel Crusher,BotW_Lynel_Crusher_Icon.png?version=eb7705e144840920c38c7dba87d43259 (https://dl.airtable.com/CDLOCg6XSqiA196QSklW_BotW_Lynel_Crusher_Icon.png%3Fversion%3Deb7705e144840920c38c7dba87d43259),Weapon,Heavy,,20,36,,,,,,,,,"This two-handed weapon is favored by the Lynels. It may be more accurate to call it a lump of metal than a weapon, but if wielded by a Lynel, it can pound you into a fine dust.",,,,,,,,,
Mighty Lynel Crusher,BotW_Mighty_Lynel_Crusher_Icon.png?version=9af080d86a43606dfbaaba822244a829 (https://dl.airtable.com/b43iAprXQ8ufVrbj5hMZ_BotW_Mighty_Lynel_Crusher_Icon.png%3Fversion%3D9af080d86a43606dfbaaba822244a829),Weapon,Heavy,,25,54,,,,,,,,,"This Lynel-made two-handed weapon has been reinforced to increase its durability and striking power. Its overwhelming heft will crush your foe, shield and all.",,,,,,,,,
Mighty Lynel Spear,BotW_Mighty_Lynel_Spear_Icon.png?version=6bd0df53e5c8928798db6daf3d169a6b (https://dl.airtable.com/W7IVL4yQGScZUf5ufvtA_BotW_Mighty_Lynel_Spear_Icon.png%3Fversion%3D6bd0df53e5c8928798db6daf3d169a6b),Weapon,Heavy,,35,20,,,,,,,,,"The weight and cutting edge of this Lynel-made spear have both been enhanced. It's immensely heavy for a Hylian, but a Lynel can cleave through rock with a single swing.",,,,,,,,,
Moblin Arm,BotW_Moblin_Arm_Icon.png?version=0ce9ecb2f419329506aa8f27f75a6695 (https://dl.airtable.com/YbVxWdpdQLW6MBSMSRCx_BotW_Moblin_Arm_Icon.png%3Fversion%3D0ce9ecb2f419329506aa8f27f75a6695),Weapon,Heavy,,5,15,,,,,,,,,A Moblin bone that continues to move even after being detached from its body. The bone is thick enough to be used as a weapon but is extremely brittle and easily broken.,,,,,,,,,
Moblin Club,BotW_Moblin_Club_Icon.png?version=244a3bc7981f45642129a04cd03640b0 (https://dl.airtable.com/m1JezsSKR1qPaKereBgr_BotW_Moblin_Club_Icon.png%3Fversion%3D244a3bc7981f45642129a04cd03640b0),Weapon,Heavy,,12,9,,,,,,,,,"A crudely fashioned club favored by Moblins. It's carved from a sturdy tree but is sloppily made, so it breaks easily.",,,,,,,,,
Royal Claymore,BotW_Royal_Claymore_Icon.png?version=f28f21fc6ac7ce675a9fa6d5bf8d090c (https://dl.airtable.com/6RhCJS8STdmruhXyVyke_BotW_Royal_Claymore_Icon.png%3Fversion%3Df28f21fc6ac7ce675a9fa6d5bf8d090c),Weapon,Heavy,,40,52,,,,,,,,,A two-handed sword issued to the Hyrulean royal family's immediate guard detail. Its powerful strikes are said to crush an opponent's body and resolve alike.,,,,,,,,,
Royal Guard's Claymore,BotW_Royal_Guard%27s_Claymore_Icon.png?version=fd19bb7d8f817e9df3f1bb1c238fb874 (https://dl.airtable.com/7amDh9vLS8OgUJPCHvZr_BotW_Royal_Guard%2527s_Claymore_Icon.png%3Fversion%3Dfd19bb7d8f817e9df3f1bb1c238fb874),Weapon,Heavy,,15,72,,,,,,,,,"The Sheikah used the very essence of ancient technology to forge this greatsword. It was designed to oppose the Calamity, but its low durability made it impractical in battle.",,,,,,,,,
Rusty Claymore,BotW_Rusty_Claymore_Icon.png?version=cb6d09a1b877133ef97184e323ec67e6 (https://dl.airtable.com/SH4ktTuQRaA8oCaYdGK0_BotW_Rusty_Claymore_Icon.png%3Fversion%3Dcb6d09a1b877133ef97184e323ec67e6),Weapon,Heavy,,10,12,,,,,,,,,"A two-handed sword not properly cared for. Although it can be used as a weapon, its durability is very low. Don't expect it to last for more than a few strikes.",,,,,,,,,
Savage Lynel Crusher,BotW_Savage_Lynel_Crusher_Icon.png?version=a6a8898e366431a8f6e195f888ad5ad4 (https://dl.airtable.com/l632t9naR9C0NLp6S0GI_BotW_Savage_Lynel_Crusher_Icon.png%3Fversion%3Da6a8898e366431a8f6e195f888ad5ad4),Weapon,Heavy,,35,78,,,,,,,,,This Lynel-made two-handed weapon is immensely heavy thanks to a rare metal from Death Mountain's peak. The power of its downward swing is in a class all its own.,,,,,,,,,
Silver Longsword,BotW_Silver_Longsword_Icon.png?version=ac70373aa6632540e411c87d31576a76 (https://dl.airtable.com/CG6Vu11UQf6SiAnFtQ5s_BotW_Silver_Longsword_Icon.png%3Fversion%3Dac70373aa6632540e411c87d31576a76),Weapon,Heavy,,30,22,,,,,,,,,"Although the Zora prefer spears to swords, they made this two-handed weapon using a special metal. It found popularity among Hylians for its unique design.",,,,,,,,,
Soldier's Claymore,BotW_Soldier%27s_Claymore_Icon.png?version=33412cedb33e12227744b753304207b4 (https://dl.airtable.com/og2Pi9vuSW4oBogYjiZV_BotW_Soldier%2527s_Claymore_Icon.png%3Fversion%3D33412cedb33e12227744b753304207b4),Weapon,Heavy,,25,20,,,,,,,,,A two-handed sword designed for combat. It's heavy and hard to use but has decent build quality and durability.,,,,,,,,,
Spiked Boko Bat,BotW_Spiked_Boko_Bat_Icon.png?version=5fdf6f4b947697b69af3eb0edeca15c4 (https://dl.airtable.com/uE7JyFLKS8Sql8RdkFAE_BotW_Spiked_Boko_Bat_Icon.png%3Fversion%3D5fdf6f4b947697b69af3eb0edeca15c4),Weapon,Heavy,,12,18,,,,,,,,,"After much consideration by Bokoblins on how to improve the Boko bat, they simply attached sharp spikes to it. A skilled fighter can cause immense damage with this.",,,,,,,,,
Spiked Moblin Club,BotW_Spiked_Moblin_Club_Icon.png?version=4c6f4a6bb162c6ca87693aa0b971f198 (https://dl.airtable.com/sumg3NYhRvyW1bkhll7I_BotW_Spiked_Moblin_Club_Icon.png%3Fversion%3D4c6f4a6bb162c6ca87693aa0b971f198),Weapon,Heavy,,18,27,,,,,,,,,Animal bone has been affixed to this Moblin club to greatly improve its damage.,,,,,,,,,
Stone Smasher,BotW_Stone_Smasher_Icon.png?version=0358768053162b235554b5cb5de678bc (https://dl.airtable.com/RLDmgBwnThGWrCCzxFah_BotW_Stone_Smasher_Icon.png%3Fversion%3D0358768053162b235554b5cb5de678bc),Weapon,Heavy,mining,40,42,,,,,,,,,"A two-handed weapon forged from a rare metal mined in Goron City. Its center of gravity is at its tip, so it uses centrifugal force and its sheer weight to smash opponents flat.",,,,,,,,,
Sword of the Six Sages,BotW_Sword_of_the_Six_Sages_Icon.png?version=013a03d5863f4e7f358f748328364a64 (https://dl.airtable.com/sQCxVBlyQceXiQIcpt4l_BotW_Sword_of_the_Six_Sages_Icon.png%3Fversion%3D013a03d5863f4e7f358f748328364a64),Weapon,Heavy,,50,48,,,,,,,,,The Six Sages are said to have forged this longsword to seal a demon king in the world where the hero fought against the beasts of twilight. The blade shines with a holy luster.,,,,,,,,,
Traveler's Claymore,BotW_Traveler%27s_Claymore_Icon.png?version=157d4bf8324b296313c99a982b6bd59d (https://dl.airtable.com/Xm4kpGIEQzuANzkkcX3W_BotW_Traveler%2527s_Claymore_Icon.png%3Fversion%3D157d4bf8324b296313c99a982b6bd59d),Weapon,Heavy,,20,10,,,,,,,,,A basic two-handed sword often wielded by aspiring adventurers. Its immense weight can knock enemies' shields right out of their hands.,,,,,,,,,
Windcleaver,BotW_Windcleaver_Icon.png?version=c1539d20d7e46ed96b44bad78e7c9877 (https://dl.airtable.com/CNyC3iuSUulhQdf4aRUQ_BotW_Windcleaver_Icon.png%3Fversion%3Dc1539d20d7e46ed96b44bad78e7c9877),Weapon,Heavy,,25,40,,,,,,,,,"This sword is favored by high-ranking members of the Yiga. When wielded by a proficient fighter, its unique shape cleaves the very wind and creates a vacuum.",,,,,,,,,
Woodcutter's Axe,BotW_Woodcutter%27s_Axe_Icon.png?version=95f41c560cf067a29a02489fa0520592 (https://dl.airtable.com/HDSPQG3zSMKh2VOsGxOp_BotW_Woodcutter%2527s_Axe_Icon.png%3Fversion%3D95f41c560cf067a29a02489fa0520592),Weapon,Heavy,,47,3,,,,,,,,,"A woodcutter's tool of choice for felling trees. Its formidable weight and uneven balancing make it a slow, inefficient weapon.",,,,,,,,,
Ancient Spear,BotW_Ancient_Spear_Icon.png?version=e690cd33f2dc36054e02dc49abbbb2f5 (https://dl.airtable.com/FthedNmmTSirB3ona3Bm_BotW_Ancient_Spear_Icon.png%3Fversion%3De690cd33f2dc36054e02dc49abbbb2f5),Weapon,Pole-arm,,50,30,,,,,,,,,This spear is the result of countless hours of research into the ancient technology used by Guardians. The glowing spearhead has high piercing potential.,,,,,,,,,
Boko Spear,BotW_Boko_Spear_Icon.png?version=864bc6544f6947661d29b04fb788e99b (https://dl.airtable.com/yUIXykM6TnSX9bLLk4Av_BotW_Boko_Spear_Icon.png%3Fversion%3D864bc6544f6947661d29b04fb788e99b),Weapon,Pole-arm,,12,2,,,,,,,,,"A spear recklessly carved from a tree branch. Useful for skewering fish and meat, which can then be cooked over a flame. If it's close to breaking, consider throwing it.",,,,,,,,,
Ceremonial Trident,BotW_Ceremonial_Trident_Icon.png?version=689a055fa55eff273b90aac9c0533d98 (https://dl.airtable.com/LoudZfa6QuSPQujvpVaC_BotW_Ceremonial_Trident_Icon.png%3Fversion%3D689a055fa55eff273b90aac9c0533d98),Weapon,Pole-arm,,40,14,,,,,,,,,"A spear modeled after the Lightscale Trident wielded by the Zora Champion Mipha. They may be identical in appearance, but this spear's strength and durability are inferior.",,,,,,,,,
Dragonbone Boko Spear,BotW_Dragonbone_Boko_Spear_Icon.png?version=90132586e3e9994d264140d15d459977 (https://dl.airtable.com/u7Xy17JRgKfjINQ8BZcg_BotW_Dragonbone_Boko_Spear_Icon.png%3Fversion%3D90132586e3e9994d264140d15d459977),Weapon,Pole-arm,,20,12,,,,,,,,,This Boko spear has been strengthened with fossilized bones. The bones are positioned outward so the fangs bite at the opponent. Beware Bokoblins carrying this weapon.,,,,,,,,,
Dragonbone Moblin Spear,BotW_Dragonbone_Moblin_Spear_Icon.png?version=394e1f959662815148112c19b891bda1 (https://dl.airtable.com/9A3F54yiTYOTkGPdQ1gw_BotW_Dragonbone_Moblin_Spear_Icon.png%3Fversion%3D394e1f959662815148112c19b891bda1),Weapon,Pole-arm,,25,15,,,,,,,,,"This spear is a fan favorite among Moblins. The spearhead is made from fossilized bones adorned with spikes, which greatly increases its stabbing power.",,,,,,,,,
Enhanced Lizal Spear,BotW_Enhanced_Lizal_Spear_Icon.png?version=3382d7737201a6b50d4dc19ed768c58e (https://dl.airtable.com/oNIGtz1xRZiFSdjgsD6I_BotW_Enhanced_Lizal_Spear_Icon.png%3Fversion%3D3382d7737201a6b50d4dc19ed768c58e),Weapon,Pole-arm,,22,12,,,,,,,,,"Judging by the harpoon-like spearhead of this Lizalfos-made spear, the Lizalfos use it for fishing as well as combat. Try not to get caught on the wrong end of its barbs.",,,,,,,,,
Farmer's Pitchfork,BotW_Farmer%27s_Pitchfork_Icon.png?version=c4e8d7161023c1f9cf8ee8d0f91ca7ca (https://dl.airtable.com/FJiBXU3xTPmjeftjiXNp_BotW_Farmer%2527s_Pitchfork_Icon.png%3Fversion%3Dc4e8d7161023c1f9cf8ee8d0f91ca7ca),Weapon,Pole-arm,,12,2,,,,,,,,,A farming tool used to collect hay efficiently. It's light enough to be used by anyone. The four prongs are very sharp.,,,,,,,,,
Feathered Spear,BotW_Feathered_Spear_Icon.png?version=4007014c2879920f30c88d21c557115b (https://dl.airtable.com/VdSqhnCdT8O8GeMzJkcL_BotW_Feathered_Spear_Icon.png%3Fversion%3D4007014c2879920f30c88d21c557115b),Weapon,Pole-arm,,35,10,,,,,,,,,"Its lightweight design is a hallmark of Rito craftsmanship. It's made from light and sturdy materials, which afford Rito warriors ease of use during aerial combat.",,,,,,,,,
Flamespear,BotW_Flamespear_Icon.png?version=e674f710762533de79392199f8ec9a21 (https://dl.airtable.com/EGdLXBK2QgiC4hXTo0gd_BotW_Flamespear_Icon.png%3Fversion%3De674f710762533de79392199f8ec9a21),Weapon,Pole-arm,,50,24,,,,,,,,,A magical spear forged in the magma of Death Mountain. Attack when the blade glows to expel powerful flames.,,,,,,,,,
Forest Dweller's Spear,BotW_Forest_Dweller%27s_Spear_Icon.png?version=7d24ba7d5e9bc8c49f37b62e561ae6a6 (https://dl.airtable.com/8bqK7o2VRkmkzPbSBMsI_BotW_Forest_Dweller%2527s_Spear_Icon.png%3Fversion%3D7d24ba7d5e9bc8c49f37b62e561ae6a6),Weapon,Pole-arm,,35,11,,,,,,,,,"The Koroks made this spear for Hylians. The shaft is made from a light, sturdy wood, offering ease of use. The spearhead is made from a much harder wood, offering strength.",,,,,,,,,
Forked Lizal Spear,BotW_Forked_Lizal_Spear_Icon.png?version=2e07158bbced3704a9168a194501083c (https://dl.airtable.com/zPOAKEAaTa6yEWU8hMPe_BotW_Forked_Lizal_Spear_Icon.png%3Fversion%3D2e07158bbced3704a9168a194501083c),Weapon,Pole-arm,,28,18,,,,,,,,,"Skilled Lizalfos warriors tend to favor this spear. What it lacks in piercing power, it makes up for with the brutal wounds its dual ripping blades will inflict.",,,,,,,,,
Frostspear,BotW_Frostspear_Icon.png?version=195fbd5001a3bd1bb731884968b5b229 (https://dl.airtable.com/wbuBdyKQSySrWu6WUztZ_BotW_Frostspear_Icon.png%3Fversion%3D195fbd5001a3bd1bb731884968b5b229),Weapon,Pole-arm,,40,20,,,,,,,,,A magical spear forged from ancient ice taken from the Hebra Mountains. Attack when the blade glows blue to chill the air and freeze your foe.,,,,,,,,,
Gerudo Spear,BotW_Gerudo_Spear_Icon.png?version=37e61b25bec7b192047368b522f6c400 (https://dl.airtable.com/dAFonzRLQOOHKZstcLCu_BotW_Gerudo_Spear_Icon.png%3Fversion%3D37e61b25bec7b192047368b522f6c400),Weapon,Pole-arm,,35,16,,,,,,,,,"This spear's center of gravity is in its tip, making it a bit unwieldy for the average fighter. But in the hands of a skilled Gerudo warrior, it's a weapon of reliable strength.",,,,,,,,,
Guardian Spear,BotW_Guardian_Spear_Icon.png?version=d83e52d8b853b4a4b565bce894c23fad (https://dl.airtable.com/CydbW57hS5m6pyDdGKny_BotW_Guardian_Spear_Icon.png%3Fversion%3Dd83e52d8b853b4a4b565bce894c23fad),Weapon,Pole-arm,,20,10,,,,,,,,,"Wielded by Guardian Scouts, this spear has a high piercing power and is a testament to the Sheikah's high level of technology. the spearhead appears only when brandished.",,,,,,,,,
Guardian Spear+,BotW_Guardian_Spear%EF%BC%8B_Icon.png?version=b8c854a74e13ac93a2cad1eea2922062 (https://dl.airtable.com/BtDNB6Q1iCRVuYzkFqzw_BotW_Guardian_Spear%25EF%25BC%258B_Icon.png%3Fversion%3Db8c854a74e13ac93a2cad1eea2922062),Weapon,Pole-arm,,25,15,,,,,,,,,"The tip of this Guardian spear has been enlarged and strengthened. It's a bit shorter than your average spear, perhaps to facilitate use in tight spaces.",,,,,,,,,
Guardian Spear++,BotW_Guardian_Spear%EF%BC%8B%EF%BC%8B_Icon.png?version=631dda4cf4935de7a37e23e0615769de (https://dl.airtable.com/rt7Pd7WMT1m4CHSVDjQE_BotW_Guardian_Spear%25EF%25BC%258B%25EF%25BC%258B_Icon.png%3Fversion%3D631dda4cf4935de7a37e23e0615769de),Weapon,Pole-arm,,35,20,,,,,,,,,"This Guardian spear's output has been boosted to the maximum. The spearhead is designed for optimal stabbing, capable of easily piercing most armor.",,,,,,,,,
Knight's Halberd,BotW_Knight%27s_Halberd_Icon.png?version=90974207fb88bd108ecfc0c3b7121e71 (https://dl.airtable.com/qG2Mc5oZTOyk6soF1zt6_BotW_Knight%2527s_Halberd_Icon.png%3Fversion%3D90974207fb88bd108ecfc0c3b7121e71),Weapon,Pole-arm,,40,13,,,,,,,,,A spear used by knights adept in mounted combat. The spearhead is modeled after an axe.,,,,,,,,,
Lightscale Trident,BotW_Lightscale_Trident_Icon.png?version=f7e9bc837a705c21d7a3ecd4eb621701 (https://dl.airtable.com/wUOQJYj5QTaF1C8EyvgC_BotW_Lightscale_Trident_Icon.png%3Fversion%3Df7e9bc837a705c21d7a3ecd4eb621701),Weapon,Pole-arm,,70,22,,,,,,,,,"A spear of peerless grace cherished by the Zora Champion Mipha. Although Mipha specialized in healing abilities, her spearmanship was in a class all its own.",,,,,,,,,
Lizal Spear,BotW_Lizal_Spear_Icon.png?version=4a805eee402e92c8c2bf0f479e206e5d (https://dl.airtable.com/CDJcKQodRzCYtrCyCU04_BotW_Lizal_Spear_Icon.png%3Fversion%3D4a805eee402e92c8c2bf0f479e206e5d),Weapon,Pole-arm,,18,7,,,,,,,,,"Judging by the harpoon-like spearhead of this Lizalfos-made spear, the Lizalfos use it for fishing as well as combat. Try not to get caught on the wrong end of its barbs.",,,,,,,,,
Lynel Spear,BotW_Lynel_Spear_Icon.png?version=44d2b5c8faf1fd8bc873168629bc7751 (https://dl.airtable.com/qLZub8VkSY6DZsrI2v0f_BotW_Lynel_Spear_Icon.png%3Fversion%3D44d2b5c8faf1fd8bc873168629bc7751),Weapon,Pole-arm,,25,14,,,,,,,,,"The crescent-shaped spearhead of this Lynel-made weapon gives it poor balance, making it difficult to wield. Lynels, however, can swing it effectively with a single hand.",,,,,,,,,
Moblin Spear,BotW_Moblin_Spear_Icon.png?version=c974c5d2d29e3c826cc381496ab86199 (https://dl.airtable.com/RehzG3GURusB6bCv3O1k_BotW_Moblin_Spear_Icon.png%3Fversion%3Dc974c5d2d29e3c826cc381496ab86199),Weapon,Pole-arm,,15,4,,,,,,,,,"This wooden spear is most often used by Moblins. It's made from a hastily whittled tree, so its stabbing power and durability are both pretty low.",,,,,,,,,
Royal Guard's Spear,BotW_Royal_Guard%27s_Spear_Icon.png?version=5be3cb92454b5a03623f9ec9513b7a0b (https://dl.airtable.com/DxCp2FcgSU2wq52MyxRp_BotW_Royal_Guard%2527s_Spear_Icon.png%3Fversion%3D5be3cb92454b5a03623f9ec9513b7a0b),Weapon,Pole-arm,,15,32,,,,,,,,,"This Sheikah-made spear was created using ancient technology to combat the Calamity. Its attack power is very high, but a critical design flaw left it with poor durability.",,,,,,,,,
Royal Halberd,BotW_Royal_Halberd_Icon.png?version=9149bca31d0e5e8acd1b8bbe035dbdac (https://dl.airtable.com/jaJIxz0YR2GmygfStYtJ_BotW_Royal_Halberd_Icon.png%3Fversion%3D9149bca31d0e5e8acd1b8bbe035dbdac),Weapon,Pole-arm,,50,26,,,,,,,,,This spear was issued to the knights who guarded Hyrule Castle's throne room. Its ornate design was applied by a craftsman in service to the royal family.,,,,,,,,,
Rusty Halberd,BotW_Rusty_Halberd_Icon.png?version=86db83551e092c23f4f156433838aa4e (https://dl.airtable.com/ipBgwHk7TvW2h3nLLJ8O_BotW_Rusty_Halberd_Icon.png%3Fversion%3D86db83551e092c23f4f156433838aa4e),Weapon,Pole-arm,,15,5,,,,,,,,,"A rusty polearm likely used by knights from an age past. The spearhead is in bad shape due to prolonged exposure to the elements, so its durability is low.",,,,,,,,,
Savage Lynel Spear,BotW_Savage_Lynel_Spear_Icon.png?version=7142e2dd063d69128619f9ce8666bedd (https://dl.airtable.com/uPAxSPsTri7dvnLvik0o_BotW_Savage_Lynel_Spear_Icon.png%3Fversion%3D7142e2dd063d69128619f9ce8666bedd),Weapon,Pole-arm,,45,30,,,,,,,,,White-haired Lynels favor this brutal spear. Its axe-like spearhead and exceptional weight give it absolute destructive power.,,,,,,,,,
Serpentine Spear,BotW_Serpentine_Spear_Icon.png?version=c8d2d524fd505fa2f05bf4d0a81cdf3f (https://dl.airtable.com/Q4Qv1kKlRcSEmJoYRFqp_BotW_Serpentine_Spear_Icon.png%3Fversion%3Dc8d2d524fd505fa2f05bf4d0a81cdf3f),Weapon,Pole-arm,,35,12,,,,,,,,,The spearhead of this weapon is uniquely Sheikah in design. Spear masters of the Sheikah tribe can use the crescent shape to snag their opponents and deliver brutal cuts.,,,,,,,,,
Silverscale Spear,BotW_Silverscale_Spear_Icon.png?version=23e2d909daa0b06c6bc558426597e7f2 (https://dl.airtable.com/9rDR2BPQRqtdruKvD5lJ_BotW_Silverscale_Spear_Icon.png%3Fversion%3D23e2d909daa0b06c6bc558426597e7f2),Weapon,Pole-arm,,40,12,,,,,,,,,The most skilled Zora fighters wield this spear. Its beautiful fish-tail design belies its impressive strength; the spearhead can pierce even the toughest scales.,,,,,,,,,
Soldier's Spear,BotW_Soldier%27s_Spear_Icon.png?version=a45b712c01a18045b1a422b1ed4af673 (https://dl.airtable.com/pVjmVLdKQ10VSeJaOf5T_BotW_Soldier%2527s_Spear_Icon.png%3Fversion%3Da45b712c01a18045b1a422b1ed4af673),Weapon,Pole-arm,,35,7,,,,,,,,,A long spear once used by the guards of Hyrule Castle. Easy to use but difficult to master. The iron tip is very sturdy and the shaft will not burn when exposed to flame.,,,,,,,,,
Spiked Boko Spear,BotW_Spiked_Boko_Spear_Icon.png?version=aa8430dfae4bb82b74c115df9fba3cba (https://dl.airtable.com/PYR8I5UrQjG9mFeIPRe1_BotW_Spiked_Boko_Spear_Icon.png%3Fversion%3Daa8430dfae4bb82b74c115df9fba3cba),Weapon,Pole-arm,,15,6,,,,,,,,,"A Boko spear enhanced with sharpened animal bones. It's light, easy to use, and deals a decent amount of damage.",,,,,,,,,
Spiked Moblin Spear,BotW_Spiked_Moblin_Spear_Icon.png?version=16319dc9e45ab5a7af8c480571e4b240 (https://dl.airtable.com/5hzWcN1xQoepDnJ4V7vA_BotW_Spiked_Moblin_Spear_Icon.png%3Fversion%3D16319dc9e45ab5a7af8c480571e4b240),Weapon,Pole-arm,,20,9,,,,,,,,,"This Moblin-made spear uses a horned animal bone as the spearhead. Like many Moblin weapons it's sloppily made, but this one packs some respectable piercing power.",,,,,,,,,
